IMb,IMb Serial Number,Scan DateTime,Scan Event Code,Scan Facility ZIP,Mail Phase,Expected Delivery Date,Anticipated Delivery Date
0027020014600276944453018111076,002769444,2020-09-01 19:45:27-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602231998480221269993,022319984,2020-09-01 18:56:43-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602077786480203135023,020777864,2020-09-01 18:30:26-0600,481,80266,Phase 1a - Origin Primary Processing,,
0027020014600275875575042507901,002758755,2020-09-01 19:44:49-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600275742115066368140,002757421,2020-09-01 19:47:58-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602271791481521965206,022717914,2020-09-01 18:38:11-0600,481,81505,Phase 1a - Origin Primary Processing,,
0027020014600276945755744419405,002769457,2020-09-01 19:45:25-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602243162994086793169,022431629,2020-09-01 14:23:35-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602127647666418931104,021276476,2020-09-01 22:25:51-0500,004,64121,Phase 0 - Origin Processing Cancellation of Postage,,
0027120014602086255636461016464,020862556,2020-09-01 19:23:46-0500,891,36119,Phase 1a - Origin Primary Processing,,
0027120014602243339895423174848,022433398,2020-09-01 13:19:19-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027020014600276912619382235920,002769126,2020-09-01 19:41:58-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602231984780218236080,022319847,2020-09-01 18:57:06-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014600186608176108100641,001866081,2020-09-01 21:19:34-0500,893,76161,Phase 2a - Destination MMP Processing,,
0027120014602140032963114581395,021400329,2020-09-01 19:22:45-0500,483,63155,Phase 2a - Destination MMP Processing,,
0027120014602232201080815925074,022322010,2020-09-01 16:49:09-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602107741591362113163,021077415,2020-09-01 17:29:36-0700,896,91383,Phase 3a - Destination Secondary Processing,2020-09-04,2020-09-02
0027120014602164286056115315355,021642860,2020-09-01 18:22:51-0500,481,54303,Phase 1a - Origin Primary Processing,,
0027120014602206741833033353920,022067418,2020-09-01 15:58:40-0400,893,33152,Phase 2a - Destination MMP Processing,2020-09-03,
0027120014602181163606511740501,021811636,2020-09-01 19:01:32-0400,891,06101,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602250883696022953345,022508836,2020-09-01 18:50:46-0700,894,96049,Phase 2b - Destination SCF Processing,,
0027120014602231921180113318036,022319211,2020-09-01 19:18:07-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027020014600276174307462313412,002761743,2020-09-01 19:31:08-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602206742733033556191,022067427,2020-09-01 15:58:38-0400,893,33152,Phase 2a - Destination MMP Processing,2020-09-03,
0027020014600276448591784110033,002764485,2020-09-01 19:33:16-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602243299594965246411,022432995,2020-09-01 13:25:35-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602154164584105262301,021541645,2020-09-01 23:29:45-0400,481,40231,Phase 1a - Origin Primary Processing,,
0027020014600276413634102735722,002764136,2020-09-01 19:32:13-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014600642812638655543718,006428126,2020-09-01 20:41:14-0500,891,39201,Phase 1a - Origin Primary Processing,,
0027120014600200649730342227307,002006497,2020-09-01 22:23:40-0400,891,30026,Phase 1a - Origin Primary Processing,,
0027020014600276390519007643015,002763905,2020-09-01 19:32:41-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027020014600276839034748213700,002768390,2020-09-01 19:31:48-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0031120014602137522489448,021375224,2020-09-01 19:29:40-0700,894,89510,Phase 2b - Destination SCF Processing,,
0027120014600183225975025383309,001832259,2020-09-01 20:11:04-0500,481,75099,Phase 1a - Origin Primary Processing,,
0027120014602231933480120811473,022319334,2020-09-01 19:09:42-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027020014600276183410308263632,002761834,2020-09-01 19:30:58-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602231860380012411593,022318603,2020-09-01 16:49:45-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602243289594923975230,022432895,2020-09-01 13:28:34-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602155683098524970021,021556830,2020-09-01 18:14:37-0700,896,98413,Phase 3a - Destination Secondary Processing,,2020-09-02
0027020014600276020930677000275,002760209,2020-09-01 19:51:27-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602231920680113505311,022319206,2020-09-01 19:18:07-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602079131396088014444,020791313,2020-09-01 18:32:31-0700,894,96049,Phase 2b - Destination SCF Processing,,
0027020014600276862564113114809,002768625,2020-09-01 19:39:15-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602206734133031185300,022067341,2020-09-01 16:00:55-0400,893,33152,Phase 2a - Destination MMP Processing,2020-09-03,
0027120014602243142094066190460,022431420,2020-09-01 13:21:26-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602231850680011220680,022318506,2020-09-01 16:52:39-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027020014600276407130094820625,002764071,2020-09-01 19:32:21-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600275837546385640254,002758375,2020-09-01 19:45:31-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602243223194116145334,022432231,2020-09-01 20:59:02-0700,896,94188,Phase 3a - Destination Secondary Processing,,2020-09-02
0027020014600276831629505391143,002768316,2020-09-01 19:31:57-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600276005427106500620,002760054,2020-09-01 19:48:50-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027020014600276835331904224300,002768353,2020-09-01 19:31:52-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602142756296793268192,021427562,2020-09-01 18:52:40-0700,891,94188,Phase 1a - Origin Primary Processing,2020-09-09,
0027020014600275826337774251722,002758263,2020-09-01 19:47:04-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600276547494804111903,002765474,2020-09-01 19:46:37-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600276100178261277618,002761001,2020-09-01 19:45:57-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
