IMb,IMb Serial Number,Scan DateTime,Scan Event Code,Scan Facility ZIP,Mail Phase,Expected Delivery Date,Anticipated Delivery Date
0027120014602078293885544023333,020782938,2020-09-02 15:44:09-0700,896,85026,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602181890907066142446,021818909,2020-09-02 17:13:34-0400,894,07099,Phase 2b - Destination SCF Processing,2020-09-05,
0027120014602181523007974134215,021815230,2020-09-02 18:59:59-0400,896,07099,Phase 3a - Destination Secondary Processing,2020-09-05,2020-09-03
0027120014602203559730553265603,022035597,2020-09-02 20:27:56-0400,894,30026,Phase 2b - Destination SCF Processing,,
0027120014602154317985258611117,021543179,2020-09-02 16:15:11-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602116818585028400315,021168185,2020-09-02 15:32:51-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602129394986323707330,021293949,2020-09-02 15:16:57-0700,896,85026,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602166739785050874542,021667397,2020-09-02 15:57:02-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602181750207009170728,021817502,2020-09-02 17:14:29-0400,894,07099,Phase 2b - Destination SCF Processing,2020-09-05,
0027120014602163408647639827010,021634086,2020-09-02 17:08:55-0500,481,47711,Phase 1a - Origin Primary Processing,,
0027120014602216060448051153352,022160604,2020-09-02 23:20:01-0400,004,48340,Phase 0 - Origin Processing Cancellation of Postage,,
0027120014602203627330650154407,022036273,2020-09-02 18:18:59-0400,896,30026,Phase 3a - Destination Secondary Processing,2020-09-03,2020-09-03
0027120014602116801585021451008,021168015,2020-09-02 16:14:55-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602205021932085040101,022050219,2020-09-02 23:17:27-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602154316685258507327,021543166,2020-09-02 16:15:10-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602078269085374207602,020782690,2020-09-02 16:15:22-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602203543230546150350,022035432,2020-09-02 20:42:11-0400,894,30026,Phase 2b - Destination SCF Processing,,
0027120014602205141232277156082,022051412,2020-09-02 20:19:45-0400,893,32203,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602203422830071264610,022034228,2020-09-02 20:28:58-0400,894,30026,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602205021832085335454,022050218,2020-09-02 23:17:28-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205030332092765125,022050303,2020-09-02 23:16:34-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014600203305087123167420,002033050,2020-09-02 16:13:25-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602205032232092190361,022050322,2020-09-02 23:16:32-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602203512730513761670,022035127,2020-09-02 20:30:40-0400,894,30026,Phase 2b - Destination SCF Processing,,
0027120014602205028132092451901,022050281,2020-09-02 23:16:29-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205030832092186358,022050308,2020-09-02 23:16:33-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205031832092369925,022050318,2020-09-02 23:16:32-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205031632092188172,022050316,2020-09-02 23:16:32-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602203507230501154913,022035072,2020-09-02 20:30:47-0400,894,30026,Phase 2b - Destination SCF Processing,,
0027120014602205034432095964181,022050344,2020-09-02 23:16:30-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602203560730553078181,022035607,2020-09-02 20:27:39-0400,894,30026,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602205030432092109321,022050304,2020-09-02 23:16:33-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602078269585374459639,020782695,2020-09-02 16:15:23-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602203291630005228020,022032916,2020-09-02 20:36:32-0400,894,30026,Phase 2b - Destination SCF Processing,,
0027120014602205032132092278745,022050321,2020-09-02 23:16:32-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205017632084822033,022050176,2020-09-02 23:16:28-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205021532085340202,022050215,2020-09-02 23:17:28-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602107489490805278909,021074894,2020-09-02 15:26:51-0700,891,98032,Phase 1a - Origin Primary Processing,,
0027120014602116889085142307446,021168890,2020-09-02 17:58:40-0700,896,85026,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602181859807041191608,021818598,2020-09-02 17:09:27-0400,894,07099,Phase 2b - Destination SCF Processing,2020-09-05,
0027120014602205032632092503713,022050326,2020-09-02 23:16:29-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205031232092504497,022050312,2020-09-02 23:16:32-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205013632084407030,022050136,2020-09-02 23:16:29-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205021732085217474,022050217,2020-09-02 23:17:28-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205030732092069297,022050307,2020-09-02 23:16:33-0400,893,32203,Phase 2a - Destination MMP Processing,,
4027120014600681059322576266804,006810593,2020-09-02 18:49:05-0400,141,21233,Phase 1a - Origin Primary Processing,2020-08-17,
0027120014602205031332092186195,022050313,2020-09-02 23:16:29-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602222157260140541821,022221572,2020-09-02 19:51:30-0500,894,60199,Phase 2b - Destination SCF Processing,2020-09-04,
0027120014602205034132095963148,022050341,2020-09-02 23:16:30-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602235669489142206861,022356694,2020-09-02 17:49:31-0700,894,89199,Phase 2b - Destination SCF Processing,2020-09-04,
0027120014602205031932092342504,022050319,2020-09-02 23:16:29-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205015332084133247,022050153,2020-09-02 23:16:29-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602164989862982104365,021649898,2020-09-02 17:07:51-0500,481,47711,Phase 1a - Origin Primary Processing,,
0027120014602181877407060392674,021818774,2020-09-02 17:13:59-0400,894,07099,Phase 2b - Destination SCF Processing,2020-09-05,
0027120014602205033032092090535,022050330,2020-09-02 23:16:31-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602089022163965611301,020890221,2020-09-02 17:39:43-0500,894,63155,Phase 2b - Destination SCF Processing,,
0027120014602116852785051751732,021168527,2020-09-02 16:15:00-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602182042807302277904,021820428,2020-09-02 17:12:48-0400,894,07099,Phase 2b - Destination SCF Processing,2020-09-05,
0027020014602475648037918952223,024756480,2020-09-02 21:13:59-0400,481,23150,Phase 1a - Origin Primary Processing,,
0027120014602205030632092543456,022050306,2020-09-02 23:16:33-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602220122355066146161,022201223,2020-09-02 22:25:37-0500,481,55121,Phase 1a - Origin Primary Processing,,
0027120014602205031032092344189,022050310,2020-09-02 23:16:33-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205031732092103409,022050317,2020-09-02 23:16:32-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205032932092104768,022050329,2020-09-02 23:16:31-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205030932092962496,022050309,2020-09-02 23:16:33-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205017932084440121,022050179,2020-09-02 23:16:28-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205033232092040885,022050332,2020-09-02 23:16:31-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205034332095863101,022050343,2020-09-02 23:16:30-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205032532092246895,022050325,2020-09-02 23:16:31-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205021632085408080,022050216,2020-09-02 23:17:27-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205021332084331954,022050213,2020-09-02 23:16:28-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014602205026932092109735,022050269,2020-09-02 23:16:30-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027020014600276211320854398500,002762113,2020-09-02 23:28:37-0400,896,20898,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602239168792010395628,022391687,2020-09-02 20:28:37-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014600203180285281158626,002031802,2020-09-02 16:12:38-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602110586898261825043,021105868,2020-09-02 15:25:57-0700,896,98168,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602181526307974202525,021815263,2020-09-02 19:00:05-0400,896,07099,Phase 3a - Destination Secondary Processing,2020-09-05,2020-09-03
0027120014602257420531015884033,022574205,2020-09-02 18:39:22-0400,481,30026,Phase 1a - Origin Primary Processing,,
0027120014602182224608882180333,021822246,2020-09-02 16:34:16-0400,894,07099,Phase 2b - Destination SCF Processing,2020-09-05,
0027120014602239161492008658154,022391614,2020-09-02 20:28:30-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602221435060089352436,022214350,2020-09-02 22:21:51-0500,896,60095,Phase 3a - Destination Secondary Processing,,2020-09-03
93270200146002757815,002757815,2020-09-02 18:00:27-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602181700008886200116,021817000,2020-09-02 19:12:41-0400,383,07099,Phase 2a - Destination MMP Processing,2020-09-05,
0027120014602182210008872112909,021822100,2020-09-02 16:44:57-0400,894,07099,Phase 2b - Destination SCF Processing,2020-09-05,
0027120014602232191680743936474,022321916,2020-09-02 19:20:17-0600,896,80266,Phase 3a - Destination Secondary Processing,2020-09-04,2020-09-03
0027120014602239164892008711488,022391648,2020-09-02 20:28:34-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602239157292008112440,022391572,2020-09-02 20:28:26-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602181517407928101083,021815174,2020-09-02 19:00:11-0400,896,07099,Phase 3a - Destination Secondary Processing,2020-09-05,2020-09-03
0027120014602239171592010394289,022391715,2020-09-02 20:29:09-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602078147485120482567,020781474,2020-09-02 16:04:30-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602239168092010554256,022391680,2020-09-02 20:28:36-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602116870685120492125,021168706,2020-09-02 16:04:28-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602239164492008383714,022391644,2020-09-02 20:28:33-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027020014602474473620188056161,024744736,2020-09-02 22:37:45-0400,891,23150,Phase 1a - Origin Primary Processing,,
0027120014602239156092008378170,022391560,2020-09-02 20:28:24-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602239171492010392264,022391714,2020-09-02 20:29:08-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602257464531079886079,022574645,2020-09-02 18:39:24-0400,481,30026,Phase 1a - Origin Primary Processing,,
0027120014602181928407081180947,021819284,2020-09-02 17:06:00-0400,894,07099,Phase 2b - Destination SCF Processing,2020-09-05,
0027120014602231231180135976827,022312311,2020-09-02 20:08:18-0600,896,80266,Phase 3a - Destination Secondary Processing,2020-09-04,2020-09-03
0027020014602475585732968317805,024755857,2020-09-02 21:15:24-0400,481,23150,Phase 1a - Origin Primary Processing,,
0027120014602239159292008150986,022391592,2020-09-02 20:28:28-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602086417937334213206,020864179,2020-09-02 19:33:13-0400,896,37421,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602116871885120333528,021168718,2020-09-02 16:04:27-0700,894,85026,Phase 2b - Destination SCF Processing,,
0031120014600201558393610,002015583,2020-09-02 15:20:31-0700,894,94615,Phase 2b - Destination SCF Processing,,
0027120014602239161692008201241,022391616,2020-09-02 20:28:30-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602221435860089162382,022214358,2020-09-02 22:21:59-0500,896,60095,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602161798733131327162,021617987,2020-09-02 23:28:02-0400,896,33152,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602068290307662340724,020682903,2020-09-02 23:31:22-0400,891,07099,Phase 1a - Origin Primary Processing,,
0031120014602085662455708,020856624,2020-09-02 22:13:43-0500,896,55806,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602238711391750141959,022387113,2020-09-02 15:48:36-0700,896,92799,Phase 3a - Destination Secondary Processing,2020-09-05,2020-09-03
0027120014602205014832084061137,022050148,2020-09-02 23:16:28-0400,893,32203,Phase 2a - Destination MMP Processing,,
0027120014600203305287123268215,002033052,2020-09-02 16:13:25-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602239165292008250560,022391652,2020-09-02 20:28:34-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602154324685262291183,021543246,2020-09-02 16:15:03-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027020014600276390719070122935,002763907,2020-09-02 18:01:42-0400,896,19176,Phase 3a - Destination Secondary Processing,2020-09-03,2020-09-03
0027120014602168122598256010303,021681225,2020-09-02 15:14:13-0700,896,98168,Phase 3a - Destination Secondary Processing,,2020-09-03
0027020014600276469807039100845,002764698,2020-09-02 19:30:12-0400,896,07099,Phase 3a - Destination Secondary Processing,2020-09-04,2020-09-03
0027120014602239169892010560455,022391698,2020-09-02 20:28:38-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027020014600276923027804330076,002769230,2020-09-02 16:44:29-0400,894,27801,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602239160892008113760,022391608,2020-09-02 20:28:29-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602154317585258413318,021543175,2020-09-02 16:15:10-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602181924807079182014,021819248,2020-09-02 17:06:04-0400,894,07099,Phase 2b - Destination SCF Processing,2020-09-05,
0027120014602154325085263509807,021543250,2020-09-02 16:15:04-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602154229785024115923,021542297,2020-09-02 15:59:32-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602239170592010283015,022391705,2020-09-02 20:28:39-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602221447060090594775,022214470,2020-09-02 22:21:39-0500,896,60095,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602154257385120726851,021542573,2020-09-02 16:07:03-0700,894,85026,Phase 2b - Destination SCF Processing,,
0027120014602182217508879111790,021822175,2020-09-02 16:47:22-0400,894,07099,Phase 2b - Destination SCF Processing,2020-09-05,
0027120014602220686555362761665,022206865,2020-09-02 22:21:10-0500,896,55401,Phase 3a - Destination Secondary Processing,,2020-09-03
0027120014602181555407960643033,021815554,2020-09-02 19:30:45-0400,896,07099,Phase 3a - Destination Secondary Processing,2020-09-05,2020-09-03
0027120014602089013963670153658,020890139,2020-09-02 17:39:48-0500,894,63155,Phase 2b - Destination SCF Processing,,
0027120014602239160192008251065,022391601,2020-09-02 20:28:29-0700,894,92199,Phase 2b - Destination SCF Processing,,
